"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"0","(0) Schule & Vorgangsnummer","group","","","",""
"0.1","(0.1) Name der Schule","string","","","",""
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.1","(1.1) Nachname des Kindes","string","","","",""
"1.2","(1.2) Vorname des Kindes","string","","","",""
"1.3","(1.3) Geburtsdatum","date","","","",""
"1.4a","(1.4a) Staatsangehörigkeit","choice","","Deutsch :: Deutsch UND andere :: Andere :: keine Angaben ","DE-BB",""
"1.4a.1","(1.4a.1) Staatsangehörigkeit andere","choice","1.4a = 2;1.4a = 3","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.4b","(1.4b) Staatsangehörigkeit Mutter","choice","","Deutsch :: Deutsch UND andere :: Andere :: keine Angaben ","DE-BB",""
"1.4b.1","(1.4b.1) Staatsangehörigkeit Mutter andere","choice","1.4b = 2;1.4b = 3","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.4c","(1.4c) Staatsangehörigkeit Vater","choice","","Deutsch :: Deutsch UND andere :: Andere :: keine Angaben ","DE-BB",""
"1.4c.1","(1.4c.1) Staatsangehörigkeit Vater andere","choice","1.4c = 2;1.4c = 3","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.5","(1.5) Geburtsland","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.5a","(1.5a) Geburtsland Mutter","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.5b","(1.5b) Geburtsland Vater","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.12a","(1.12a) Kind lebt hauptsächlich bei","choice","","Leibliche Eltern :: Mutter mit Partner/in :: Mutter alleinerziehend :: Vater mit Partner/in :: Vater alleinerziehend :: Wechselmodell :: Heim :: Pflegeeltern :: Andere Familienmitglieder/Verwandte :: ...","DE-BB",""
"1.12a.1","(1.12a.1) Kind lebt hauptsächlich bei anderen","string","1.12a = andere_familienmitglieder;1.12a = andere","","DE-BB",""
"4","(4) Kinderbetreuung","group","","","",""
"4.1c","(4.1c) Dauer Kindertagebetreuung in Jahren","choice","","Gar nicht :: Unter 1 Jahr :: Über 1 Jahr :: Über 2 Jahre :: Über 3 Jahre :: Über 4 Jahre :: Keine Angabe ","DE-BB",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.7a","(5.7a) Ausschließliches Stillen","choice","","Nie gestillt :: Weniger als 6 Monate :: Mehr als 6 Monate :: Keine Angabe ","DE-BB",""
"6","(6) Sprache","group","","","",""
"6.1","(6.1) Welche Sprachen werden Zuhause gesprochen?","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"6.1b","(6.1b) 1. vorrangig in der Familie gesprochene Sprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","DE-SL",""
"6.1c","(6.1c) 2. vorrangig in der Familie gesprochene Sprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","DE-SL",""
"7","(7) Entwicklung","group","","","",""
"7.11","(7.11) Auffälligkeit des Verhaltens","open-choice","","Konzentrationsstörung :: Bettnässen :: Einkoten :: Ängstlichkeit :: Aggressivität :: Schlafstörung :: Motorische Unruhe/Hyperaktivität :: Riskantes Handeln :: Schlechter Appetit :: ...","",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.1","(8.1) In regelmäßiger ärztlicher bzw. psychologischer Behandlung","boolean","","","",""
"8.2c","(8.2c) Chronische Erkrankung, Fachrichtung","choice","8.1 = true","Kinderarzt / Hausarzt :: Zahnarzt :: Kieferorthopäde :: Augenarzt :: Hals-Nasen-Ohren-Arzt :: Hautarzt :: Urologe :: Chirurg/Orthopäde :: Kinder- und Jugendpsychiater ","DE-BB",""
"8.2c.1","(8.2c.1) Chronische Erkrankung, Andere:","string","8.2c = andere","","DE-BB",""
"8.6a","(8.6a) Hilfsmittel?","choice","","Sehhilfe (z. B. Brille) :: Hörhilfe :: Orthese :: Zahnersatz (Prothese, Platzhalter) :: Anderes ","DE-BB",""
"8.11.g","(8.11.g) Erkrankungen","group","","","",""
"8.11.g.1","(8.11.g.1) Erkrankung","open-choice","","Epilepsie :: ADS/ADHS :: Sprachauffälligkeit :: Sehstörung :: Hörstörung :: Herzfehler :: Nieren/Harnwegerkrankung :: Allergischer Schnupfen :: Asthma :: ...","",""
"8.11.g.3","(8.11.g.3) Durch Ärzt:in festgestellt","boolean","","","",""
"8.12.g","(8.12.g) Infektionskrankheiten","group","","","",""
"8.12.g.1","(8.12.g.1) Infektionskrankheit","open-choice","","COVID-19 :: Hand-Fuß-Mund-Krankheit :: Borreliose :: Hepatitis B :: Hirnhautentzündung :: Keuchhusten :: Masern :: Mumps :: Ringelröten :: ...","",""
"8.13.g","(8.13.g) Erkrankungen im letzten Jahr","group","","","",""
"8.13.g.1","(8.13.g.1) Erkrankung","open-choice","","Mittelohrentzündung :: Hals-/Mandelentzündung :: Pseudokrupp-Anfall :: Bronchitis :: Lungenentzündung :: Magen-Darm-Infektion :: Fieberkrämpfe :: Cerebraler Krampfanfall :: Blasen/Harnwegsentzündung ","",""
"8.18","(8.18) Behindertenausweis vorhanden","boolean","","","",""
"8.19","(8.19) Grad der Behinderung","integer","","","",""
"8.20","(8.20) Pflegegrad","choice","","Pflegegrad 1 :: Pflegegrad 2 :: Pflegegrad 3 :: Pflegegrad 4 :: Pflegegrad 5 ","",""
"8.23","(8.23) Regelmäßige Medikamenteneinnahme","boolean","","","",""
"8.27","(8.27) Wurde ihr Kind operiert","boolean","","","",""
"8.28a","(8.28a) Hatte ihr Kind einen Unfall","boolean","","","",""
"8.28.g","(8.28.g) Hatte ihr Kind einen Unfall","group","8.28a = true;8.28b = true","","",""
"8.28.g.1","(8.28.g.1) Ort des Unfall","choice","","Zu Hause :: Kita :: Freizeit :: Straßenverkehr :: Anderer Ort ","",""
"8.28.g.2","(8.28.g.2) Art des Unfalls","choice","","Gehirnerschütterung :: Schwere Schnittverletzung :: Vergiftung :: Knochenbruch :: Prellung :: Verstauchung/Verrenkung/Ausrenkung :: Offene Wunde :: Verbrühung/Verbrennung/Verätzung :: Andere ","",""
"8.68","(8.68) Andere Verletzung","string","","","DE-BB",""
"8.69","(8.69) Andere Verletzung: zu Hause","boolean","","","DE-BB",""
"8.70","(8.70) Andere Verletzung: Kita","boolean","","","DE-BB",""
"8.71","(8.71) Andere Verletzung: Freizeit","boolean","","","DE-BB",""
"8.72","(8.72) Andere Verletzung: Straßenverkehr","boolean","","","DE-BB",""
"8.73","(8.73) Andere Verletzung: anderer Ort","boolean","","","DE-BB",""
"9a","(9a) Förderungen in den vergangenen 12 Monaten","group","","","DE-BB",""
"9a.1a","(9a.1a) Werden oder wurden bei Ihrem Kind jemals Förder- oder Heilmaßnahmen durchgeführt? (Mehrfachnennung möglich)?","boolean","","","DE-SL",""
"9a.1a.g","(9a.1a.g) Therapien","group","9a.1a = true","","DE-SN",""
"9a.2aa","(9a.2aa) Sprachförderung in der Kita","boolean","","","DE-BB",""
"9a.2ba","(9a.2ba) Logopädie","boolean","","","DE-BB",""
"9a.3a","(9a.3a) Frühförderung","boolean","","","DE-BB",""
"9a.4a","(9a.4a) Ergotherapie","boolean","","","DE-BB",""
"9a.6a","(9a.6a) Physiotherapie / Krankengymnastik","boolean","","","DE-BB",""
"9a.7a","(9a.7a) Psychologische Erziehungsberatung","boolean","","","DE-BB",""
"9a.9a","(9a.9a) Integrative Betreuung / Einzelintegration","boolean","","","DE-BB",""
"9a.10","(9a.10) Sonstige Förderung","string","","","",""
"9a.11","(9a.11) Fördermaßn. Integration in Regel-KiTa","boolean","","","DE-SL",""
"9a.14","(9a.14) Psychiatrische Institutionsambulanz (PIA)","boolean","","","DE-BB",""
"10","(10) Medienkonsum","group","","","",""
"10.3b","(10.3b) Wie lange sieht nutzt Kind Fernseher, Smartphone oder Spielkonsole an einem Wochentag","choice","","Gar nicht :: Weniger als 30 Minuten :: 30 Minuten bis 1 Stunde :: 1 bis 2 Stunden :: 2 bis 3 Stunden :: 3 Stunden oder mehr ","DE-BB",""
"10.4b","(10.4b) Wie lange sieht nutzt Kind Fernseher, Smartphone oder Spielkonsole am Wochenende","choice","","Gar nicht :: Weniger als 30 Minuten :: 30 Minuten bis 1 Stunde :: 1 bis 2 Stunden :: 2 bis 3 Stunden :: 3 Stunden oder mehr ","DE-BW",""
"11","(11) Arzt","group","","","",""
"11.1","(11.1) Hat das Kind bislang ärztliche Behandlung oder Untersützung erhalten?","boolean","","","",""
"12","(12) Sonstiges","group","","","",""
"12.2","(12.2) Beratung Sozialpädiatrisches Zentrum SPZ","choice","","Geplant :: Findet statt :: Abgeschlossen ","",""
"12.3","(12.3) Teilnahme Netzwerk Gesunde Kinder","boolean","","","",""
"12.3.1","(12.3.1) Wie lange?","integer","12.3 = true","","",""
"12.11","(12.11) Sommer: Spiel im Freien","choice","","Etwa jeden Tag :: 3 bis 5 mal pro Woche :: 1 bis 2 mal pro Woche :: Etwa 1 bis 2 mal im Monat :: Nie :: Keine Angabe ","DE-BB",""
"12.12","(12.12) Sommer: Sport im Verein","choice","","Etwa jeden Tag :: 3 bis 5 mal pro Woche :: 1 bis 2 mal pro Woche :: Etwa 1 bis 2 mal im Monat :: Nie :: Keine Angabe ","DE-BB",""
"12.13","(12.13) Sommer: Sport außerhalb Verein","choice","","Etwa jeden Tag :: 3 bis 5 mal pro Woche :: 1 bis 2 mal pro Woche :: Etwa 1 bis 2 mal im Monat :: Nie :: Keine Angabe ","DE-BB",""
"12.14","(12.14) Winter: Spiel im Freien","choice","","Etwa jeden Tag :: 3 bis 5 mal pro Woche :: 1 bis 2 mal pro Woche :: Etwa 1 bis 2 mal im Monat :: Nie :: Keine Angabe ","DE-BB",""
