"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.4b","(1.4b) Staatsangehörigkeit Mutter","choice","","Deutsch :: Deutsch UND andere :: Andere :: keine Angaben ","DE-BB",""
"1.4b.1","(1.4b.1) Staatsangehörigkeit Mutter andere","choice","1.4b = 2;1.4b = 3","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.4c","(1.4c) Staatsangehörigkeit Vater","choice","","Deutsch :: Deutsch UND andere :: Andere :: keine Angaben ","DE-BB",""
"1.4c.1","(1.4c.1) Staatsangehörigkeit Vater andere","choice","1.4c = 2;1.4c = 3","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.5","(1.5) Geburtsland","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.5a","(1.5a) Geburtsland Mutter","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"1.5b","(1.5b) Geburtsland Vater","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-BB",""
"3","(3) Familiendaten","group","","","",""
"3.1c","(3.1c) Kinder im Haushalt","integer","","","DE-HH",""
"3.1.1","(3.1.1) Details Geschwister","group","3.1 > 0;3.1c > 1","","",""
"3.1.1.1","(3.1.1.1) Geburtsdatum des Geschwisters","date","","","",""
"3.1.1.2","(3.1.1.2) Geschlecht des Geschwisters","choice","","männlich :: weiblich :: unbekannt :: divers ","",""
"3.2","(3.2) Familiäre Vorgeschichte","group","","","",""
"3.2.4b","(3.2.4b) Ist ihr Kind an Windpocken erkrankt","boolean","","","DE-HE",""
"3.2.6","(3.2.6) Hat Ihr Kind eine körperliche, geistige oder seelische Behinderung?","boolean","","","",""
"3.2.6.1","(3.2.6.1) Welche Behinderung?","string","3.2.6 = true","","",""
"4","(4) Kinderbetreuung","group","","","",""
"4.0b","(4.0b) Ist das Kind in einem Kindergarten/einer Kindertageseinrichtung?","boolean","","","",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.2","(5.2) Geburtsgewicht (in Gramm)","integer","","","",""
"5.2.a","(5.2.a) Geburtsgewicht (in Gramm)","integer","","","DE-SL",""
"5.3a","(5.3a) Geburtslänge (in cm)","integer","","","",""
"5.3c","(5.3c) In welcher SS-Woche wurde ihr Kind geboren?","integer","","","",""
"5.5","(5.5) Auffälligkeit bei der Geburt","boolean","","","",""
"5.5.1","(5.5.1) Welche Auffälligkeit?","string","5.5 = true","","",""
"5.10","(5.10) Art der Geburt","choice","","Spontangeburt :: Kaiserschnitt :: Mehrlingsgeburt :: Geburt mit Saugglocke oder Zangen ","DE-NI",""
"7","(7) Entwicklung","group","","","",""
"7.3a","(7.3a) Freies Laufen (bis 15 Monate)","boolean","","","DE-SL",""
"7.13","(7.13) Zeigte Ihr Kind mit 5 Jahren Sprachauffälligkeiten?","choice","","Ja :: Nein :: Weiß nicht ","DE-NI",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.13.g","(8.13.g) Erkrankungen im letzten Jahr","group","","","",""
