"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"0","(0) Schule & Vorgangsnummer","group","","","",""
"0.1","(0.1) Name der Schule","string","","","",""
"0.2","(0.2) Vorgangsnummer","string","","","",""
"0.10","(0.10) Datum der Untersuchung","date","","","DE-HB",""
"0.13","(0.13) Ort der Untersuchung","string","","","DE-TH",""
"0.15","(0.15) Bemerkung","string","","","DE-HH",""
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.1","(1.1) Nachname des Kindes","string","","","",""
"1.2","(1.2) Vorname des Kindes","string","","","",""
"1.3","(1.3) Geburtsdatum","date","","","",""
"1.4","(1.4) Staatsangehörigkeit","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.6","(1.6) In Deutschland geboren","boolean","","","",""
"1.6.2","(1.6.2) Geburtsland","choice","1.6 = false","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","DE-ST",""
"1.6.1","(1.6.1) Seit wann wohnt das Kind in Deutschland?","date","1.6 = false","","",""
"1.7","(1.7) Geburtsort","string","","","",""
"1.8","(1.8) Geschlecht","choice","","männlich :: weiblich :: unbekannt :: divers ","",""
"1.9","(1.9) PLZ","string","","","",""
"1.10","(1.10) Wohnort","string","","","",""
"1.11","(1.11) Straße","string","","","",""
"1.11a","(1.11a) Hausnummer","string","","","",""
"1.12","(1.12) Kind lebt hauptsächlich bei","choice","","Eltern :: Mutter :: Vater :: Andere ","",""
"1.12.1","(1.12.1) Kind lebt hauptsächlich bei anderen","string","1.12 = andere","","",""
"2","(2) Personenbezogene Daten Personensorgeberechtigter","group","","","",""
"2.0","(2.0) Beziehung","choice","","Mutter :: Vater :: Leibliche Mutter :: Leiblicher Vater :: Adoptiv-/Pflegemutter :: Adoptiv-/Pflegevater :: Natürliche Person (nicht spezifiziert) :: Jugendamt :: Juristische Person :: ...","DE-HH",""
"2.1","(2.1) Geschlecht","choice","","männlich :: weiblich :: unbekannt :: divers ","",""
"2.2","(2.2) Nachname","string","","","",""
"2.3","(2.3) Vorname","string","","","",""
"2.4","(2.4) PLZ","string","","","",""
"2.5","(2.5) Wohnort","string","","","",""
"2.6","(2.6) Straße","string","","","",""
"2.7","(2.7) Telefonnummer","string","","","",""
"2.8","(2.8) Email","string","","","",""
"2.10a","(2.10a) Herkunftsland Deutsch?","boolean","","","DE-RP",""
"2.11","(2.11) Muttersprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"2.12","(2.12) Geburtsdatum","date","","","",""
"3","(3) Familiendaten","group","","","",""
"3.1d","(3.1d) Aktuell im Haushalt lebende Kinder, inklusive des Schuhlpflichtigen","integer","","","DE-RP",""
"3.2","(3.2) Familiäre Vorgeschichte","group","","","",""
"3.2.1","(3.2.1) Brillenträger","boolean","","","",""
"3.2.2","(3.2.2) Lese/Rechtschreibschwäche","boolean","","","",""
"3.2.3","(3.2.3) Rechenschwäche","boolean","","","",""
"3.2.4","(3.2.4) Erkrankung","choice","","Allergie :: Fettstoffwechselstörung :: Bluthochdruck :: Schlaganfall :: Herzinfarkt :: Zuckerkrankheit :: Übergewicht ","",""
"3.2.5","(3.2.5) Chronische Erkrankung","choice","","Asthma bronchiale :: Rheuma :: Diabetes :: Epilepsie :: Neurodermitis :: Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung (ADHS) :: Sonstige chronische Krankheiten ","",""
"3.2.5.1","(3.2.5.1) Welche sonstige(n) chronischen Erkrankung(en)?","string","3.2.5 = sonstiges","","",""
"3.2.6","(3.2.6) Hat Ihr Kind eine körperliche, geistige oder seelische Behinderung?","boolean","","","",""
"3.2.6.1","(3.2.6.1) Welche Behinderung?","string","3.2.6 = true","","",""
"3.2.7","(3.2.7) Schilddrüsenerkrankung","boolean","","","",""
"3.2.7.1","(3.2.7.1) Welche Schilddrüsenerkrankung?","string","3.2.7 = true","","",""
"4","(4) Kinderbetreuung","group","","","",""
"4.0b","(4.0b) Ist das Kind in einem Kindergarten/einer Kindertageseinrichtung?","boolean","","","",""
"4.7","(4.7) Erfolgte die Betreuung auch durch eine Tagesmutter?","boolean","","","",""
"4.8","(4.8) Seit wann ist die Tagesmutter im Einsatz?","date","4.7 = true","","",""
"4.11","(4.11) Das Kind wurde bis zum Alter von Jahren und Monaten ausschließlich innerhalb der Familie betreut.","group","","","DE-RP",""
"4.11.1","(4.11.1) Jahre","integer","","","DE-RP",""
"4.11.2","(4.11.2) Monate","integer","","","DE-RP",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.1","(5.1) Dauer der Schwangerschaft (in Wochen)","integer","","","",""
"5.4","(5.4) Waren Geburtsgewicht und Geburtslänge normal?","boolean","","","",""
"5.5","(5.5) Auffälligkeit bei der Geburt","boolean","","","",""
"5.5.1","(5.5.1) Welche Auffälligkeit?","string","5.5 = true","","",""
"5.6","(5.6) Auffälligkeit/Krankheit in der Schwangerschaft","boolean","","","",""
"5.6.1","(5.6.1) Welche Auffälligkeit?","string","5.6 = true","","",""
"5.7","(5.7) Ausschließliches Stillen in Monaten","integer","","","",""
"5.10","(5.10) Art der Geburt","choice","","Spontangeburt :: Kaiserschnitt :: Mehrlingsgeburt :: Geburt mit Saugglocke oder Zangen ","DE-NI",""
"6","(6) Sprache","group","","","",""
"6.1","(6.1) Welche Sprachen werden Zuhause gesprochen?","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"6.2","(6.2) Muttersprache des Kindes","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"6.3","(6.3) Teilnahme des Kindes an einem Deutschkurs","choice","","Ja :: Nein :: Ist angemeldet ","",""
"6.4","(6.4) Sprachauffälligkeiten","boolean","","","",""
"6.4.1","(6.4.1) Welche Sprachauffälligkeiten","string","6.4 = true","","",""
"6.5","(6.5) Kontakt zu Deutschsprechenden seit Geburt?","boolean","","","",""
"6.6","(6.6) Kontakt zu Deutschprechenden seit Alter:","group","6.5 = false","","",""
"6.6.1","(6.6.1) Jahre","integer","","","",""
"6.6.2","(6.6.2) Monate","integer","","","",""
"7","(7) Entwicklung","group","","","",""
"7.10","(7.10) Angabe zu Entwicklungsverzögerungen, bspw. beim Erlernen des Sitzens/Laufens","text","","","",""
"7.11a","(7.11a) Auffälligkeit des Verhaltens","boolean","","","DE-HE",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.3","(8.3) Sehstörung vorhanden?","boolean","","","",""
"8.4","(8.4) Sprachstörung vorhanden?","boolean","","","",""
"8.5","(8.5) Schielbehandlung?","boolean","","","",""
"8.6","(8.6) Brillenträger?","boolean","","","",""
"8.9","(8.9) Schwere Hörstörung vorhanden?","boolean","","","",""
"8.12.g","(8.12.g) Infektionskrankheiten","group","","","",""
"8.12.g.1","(8.12.g.1) Infektionskrankheit","open-choice","","COVID-19 :: Hand-Fuß-Mund-Krankheit :: Borreliose :: Hepatitis B :: Hirnhautentzündung :: Keuchhusten :: Masern :: Mumps :: Ringelröten :: ...","",""
"8.15","(8.15) Krankenhausaufenthalt","boolean","","","",""
"8.15.1","(8.15.1) Detaillierte Angaben zum Krankenhausaufenthalt?","string","8.15 = true","","",""
"8.16a","(8.16a) Besitzt Ihr Kind Allergien?","choice","","Atopische/Allergische Erkrankungen :: Nahrungsmittelallergien :: Pollenallergien :: Hausstaubmilbenallergien :: Schimmelpilzallergien :: Tierhaarallergien :: Medikamentenallergien :: Sonstige atopische/allergische Erkrankungen ","",""
"8.16a.1","(8.16a.1) Welche sonstigen Allergien?","string","8.16a = sonstiges","","",""
"8.23","(8.23) Regelmäßige Medikamenteneinnahme","boolean","","","",""
"8.23.1","(8.23.1) Welches Medikament","string","8.23 = true","","",""
"8.33","(8.33) Einkoten tags","boolean","","","DE-SL",""
"8.34","(8.34) Einkoten nachts","boolean","","","DE-SL",""
"9","(9) Förderungen","group","","","",""
"9.1a.g","(9.1a.g) Therapien","group","9.1a = true","","DE-SN",""
"9.3a","(9.3a) Frühförderung","boolean","","","DE-BB",""
"9.11.g","(9.11.g) Kuren","group","","","",""
"9.11.g.1","(9.11.g.1) Wann","date","","","",""
"9.11.g.2","(9.11.g.2) Behandlungsschwerpunkt","string","","","",""
"11","(11) Arzt","group","","","",""
"11.2","(11.2) Name Kinderarzt","string","","","",""
"12","(12) Sonstiges","group","","","",""
"12.23","(12.23) Fährt ihr Kind frei Fahrrad","boolean","","","DE-HB",""
"13","(13) Informationen Eltern","group","","","",""
"13.13a","(13.13a) Datenschutzrechtliche Einwilligungerklärung im Rahmen der SEU über Betreuung des Kindes, Angaben zu Gesundheitsstörungen in d. Fam. des Kindes sowie Angaben zur Schwangerschaft und Geburtsverlauf sowie Angaben des betreuenden Kinderarztes.","boolean","","","DE-TH",""
