"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"0","(0) Schule & Vorgangsnummer","group","","","",""
"0.1","(0.1) Name der Schule","string","","","",""
"0.2","(0.2) Vorgangsnummer","string","","","",""
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.1","(1.1) Nachname des Kindes","string","","","",""
"1.2","(1.2) Vorname des Kindes","string","","","",""
"1.3","(1.3) Geburtsdatum","date","","","",""
"1.9","(1.9) PLZ","string","","","",""
"1.10","(1.10) Wohnort","string","","","",""
"1.11","(1.11) Straße","string","","","",""
"1.11a","(1.11a) Hausnummer","string","","","",""
"2","(2) Personenbezogene Daten Personensorgeberechtigter","group","","","",""
"2.2","(2.2) Nachname","string","","","",""
"2.3","(2.3) Vorname","string","","","",""
"2.7","(2.7) Telefonnummer","string","","","",""
"3","(3) Familiendaten","group","","","",""
"3.2","(3.2) Familiäre Vorgeschichte","group","","","",""
"3.2.5","(3.2.5) Chronische Erkrankung","choice","","Asthma bronchiale :: Rheuma :: Diabetes :: Epilepsie :: Neurodermitis :: Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung (ADHS) :: Sonstige chronische Krankheiten ","",""
"3.2.5.1","(3.2.5.1) Welche sonstige(n) chronischen Erkrankung(en)?","string","3.2.5 = sonstiges","","",""
"4","(4) Kinderbetreuung","group","","","",""
"4.0b","(4.0b) Ist das Kind in einem Kindergarten/einer Kindertageseinrichtung?","boolean","","","",""
"4.6","(4.6) Besucht Ihr Kind eine Kita in einem anderen Bundesland?","boolean","","","",""
"4.6b","(4.6b) Name des Kindergartens","string","4.0b = true","","",""
"4.6a","(4.6a) Anschrift des Kindergartens","string","4.0b = true","","DE-SN",""
"4.9","(4.9) Seit wann besucht das Kind eine Kita?","date","","","DE-SN",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.2","(5.2) Geburtsgewicht (in Gramm)","integer","","","",""
"5.3a","(5.3a) Geburtslänge (in cm)","integer","","","",""
"5.5","(5.5) Auffälligkeit bei der Geburt","boolean","","","",""
"5.5.1","(5.5.1) Welche Auffälligkeit?","string","5.5 = true","","",""
"7","(7) Entwicklung","group","","","",""
"7.3","(7.3) Freies Laufen ab? (Monate)","integer","","","",""
"7.4","(7.4) Erste Worte ab? (Monate)","integer","","","",""
"7.6","(7.6) Tagsüber ohne Windeln ab? (Jahre)","integer","","","",""
"7.9","(7.9) Links- oder Rechtshänder","choice","","Rechtshänder :: Linkshänder :: Beidhändig/Unentschieden :: Nicht feststellbar ","",""
"7.12","(7.12) Sorgen Sie sich um die Entwicklung ihres Kindes?","boolean","","","",""
"7.12.1","(7.12.1) Welche Sorgen","string","7.12 = true","","",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.3","(8.3) Sehstörung vorhanden?","boolean","","","",""
"8.3.1","(8.3.1) Welche Sehstörung","string","8.3 = true","","",""
"8.6","(8.6) Brillenträger?","boolean","","","",""
"8.9","(8.9) Schwere Hörstörung vorhanden?","boolean","","","",""
"8.9.1","(8.9.1) Welche Hörstörung","string","8.9 = true","","",""
"8.9.G","(8.9.G) Details: Angeborene schwere Hörstörung","group","8.9 = true","","",""
"8.9.G.hoergeraete.G","(8.9.G.hoergeraete.G) Hörgeräte","group","","","",""
"8.9.G.hoergeraete.G.1","(8.9.G.hoergeraete.G.1) Höregerätseite","choice","","Links :: Rechts :: Beidseits :: Keine Angabe ","",""
"8.9.G.cochlea.G","(8.9.G.cochlea.G) Cochleaimplantate","group","","","",""
"8.9.G.cochlea.G.1","(8.9.G.cochlea.G.1) Cochleaimplantat-Seite","choice","","Links :: Rechts :: Beidseits :: Keine Angabe ","",""
"8.10g","(8.10g) Stoffwechsel & Hormonstörungen","group","","","",""
"8.10g.1","(8.10g.1) Art der Störung oder Erkrankung","choice","","MCAD-Mangel :: Hypothyreose :: PKU :: AGS :: Mukoviszidose :: Diab. mell. Typ I :: Diab. mell. Typ II ","",""
"8.11.g","(8.11.g) Erkrankungen","group","","","",""
"8.11.g.1","(8.11.g.1) Erkrankung","open-choice","","Epilepsie :: ADS/ADHS :: Sprachauffälligkeit :: Sehstörung :: Hörstörung :: Herzfehler :: Nieren/Harnwegerkrankung :: Allergischer Schnupfen :: Asthma :: ...","",""
"8.12.g","(8.12.g) Infektionskrankheiten","group","","","",""
"8.12.g.1","(8.12.g.1) Infektionskrankheit","open-choice","","COVID-19 :: Hand-Fuß-Mund-Krankheit :: Borreliose :: Hepatitis B :: Hirnhautentzündung :: Keuchhusten :: Masern :: Mumps :: Ringelröten :: ...","",""
"8.14b","(8.14b) Bisher durchgemachte Erkrankungen, bspw. Windpocken oder Masern. Zeitlich nicht bestimmt","text","","","DE-BW",""
"8.15","(8.15) Krankenhausaufenthalt","boolean","","","",""
"8.15.1","(8.15.1) Detaillierte Angaben zum Krankenhausaufenthalt?","string","8.15 = true","","",""
"8.16a","(8.16a) Besitzt Ihr Kind Allergien?","choice","","Atopische/Allergische Erkrankungen :: Nahrungsmittelallergien :: Pollenallergien :: Hausstaubmilbenallergien :: Schimmelpilzallergien :: Tierhaarallergien :: Medikamentenallergien :: Sonstige atopische/allergische Erkrankungen ","",""
"8.16a.1","(8.16a.1) Welche sonstigen Allergien?","string","8.16a = sonstiges","","",""
"8.23","(8.23) Regelmäßige Medikamenteneinnahme","boolean","","","",""
"8.23.1","(8.23.1) Welches Medikament","string","8.23 = true","","",""
"8.27","(8.27) Wurde ihr Kind operiert","boolean","","","",""
"8.27.1","(8.27.1) Wie fand die Operation statt?","choice","8.27 = true","Ambulant :: Krankenhaus ","",""
"8.28a","(8.28a) Hatte ihr Kind einen Unfall","boolean","","","",""
"8.28b","(8.28b) Hatte  Ihr Kind jemals einen Unfall, der ärztlich behandelt wurde?","boolean","","","DE-BB",""
"8.28.g","(8.28.g) Hatte ihr Kind einen Unfall","group","8.28a = true","","",""
"8.28.g.1","(8.28.g.1) Ort des Unfall","choice","","Zu Hause :: Kita :: Freizeit :: Straßenverkehr :: Anderer Ort ","",""
"8.28.g.2","(8.28.g.2) Art des Unfalls","choice","","Gehirnerschütterung :: Schwere Schnittverletzung :: Vergiftung :: Knochenbruch :: Prellung :: Verstauchung/Verrenkung/Ausrenkung :: Offene Wunde :: Verbrühung/Verbrennung/Verätzung :: Andere ","",""
"8.74","(8.74) Hauterkrankungen","boolean","","","DE-SN",""
"8.75","(8.75) Welche Hauterkrankungen","string","8.74 = true","","DE-SN",""
"8.76","(8.76) Orthopädische Erkrankungen?","boolean","","","DE-SN",""
"8.77","(8.77) Welche orthopädischen Erkrankungen","string","8.76 = true","","DE-SN",""
"9","(9) Förderungen","group","","","",""
"9.1a","(9.1a) Werden oder wurden bei Ihrem Kind jemals Förder- oder Heilmaßnahmen durchgeführt? (Mehrfachnennung möglich)?","boolean","","","DE-SL",""
"9.1a.g","(9.1a.g) Therapien","group","9.1a = true","","DE-SN",""
"9.2","(9.2) Sprachtherapie","choice","","nein :: abgeschlossen :: läuft z.Zt. Noch :: geplant ","",""
"9.2b","(9.2b) Logopädie","choice","","Warteliste :: Ja :: Nein ","DE-BW",""
"9.2c","(9.2c) Ergotherapie","choice","","Warteliste :: Ja :: Nein ","DE-BW",""
"9.2d","(9.2d) Psychotherapie","choice","","Warteliste :: Ja :: Nein ","DE-BW",""
"9.3","(9.3) Frühförderung","choice","","nein :: abgeschlossen :: läuft z.Zt. Noch :: geplant ","",""
"9.6","(9.6) Physiotherapie","choice","","nein :: abgeschlossen :: läuft z.Zt. Noch :: geplant ","",""
"9.9","(9.9) Integrative Betreuung","choice","","nein :: abgeschlossen :: läuft z.Zt. Noch :: geplant ","",""
"9.10","(9.10) Sonstige Förderung","string","","","",""
"11","(11) Arzt","group","","","",""
"11.2","(11.2) Name Kinderarzt","string","","","",""
"13","(13) Informationen Eltern","group","","","",""
"13.12","(13.12) Einwilligung zur Datenerhebung früherer Untersuchungen, welche beim Gesundheitsamt vorliegen","boolean","","","",""
