"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"0","(0) Schule & Vorgangsnummer","group","","","",""
"0.1","(0.1) Name der Schule","string","","","",""
"0.10","(0.10) Datum der Untersuchung","date","","","DE-HB",""
"0.13","(0.13) Ort der Untersuchung","string","","","DE-TH",""
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.1","(1.1) Nachname des Kindes","string","","","",""
"1.2","(1.2) Vorname des Kindes","string","","","",""
"1.3","(1.3) Geburtsdatum","date","","","",""
"2","(2) Personenbezogene Daten Personensorgeberechtigter","group","","","",""
"2.2","(2.2) Nachname","string","","","",""
"2.3","(2.3) Vorname","string","","","",""
"2.4","(2.4) PLZ","string","","","",""
"2.5","(2.5) Wohnort","string","","","",""
"2.6","(2.6) Straße","string","","","",""
"2.7","(2.7) Telefonnummer","string","","","",""
"2.7a","(2.7a) Handynummer","string","","","DE-HH",""
"4","(4) Kinderbetreuung","group","","","",""
"4.11","(4.11) Das Kind wurde bis zum Alter von Jahren und Monaten ausschließlich innerhalb der Familie betreut.","group","","","DE-RP",""
"4.11.1","(4.11.1) Jahre","integer","","","DE-RP",""
"4.11.2","(4.11.2) Monate","integer","","","DE-RP",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.4","(5.4) Waren Geburtsgewicht und Geburtslänge normal?","boolean","","","",""
"5.5","(5.5) Auffälligkeit bei der Geburt","boolean","","","",""
"5.11","(5.11) APGAR","string","","","DE-HB",""
"5.12","(5.12) pH- Wert","string","","","DE-HB",""
"7","(7) Entwicklung","group","","","",""
"7.10","(7.10) Angabe zu Entwicklungsverzögerungen, bspw. beim Erlernen des Sitzens/Laufens","text","","","",""
"7.11a","(7.11a) Auffälligkeit des Verhaltens","boolean","","","DE-HE",""
"8","(8) Erkrankungen und gesundheitliche Einschränkungen","group","","","",""
"8.6","(8.6) Brillenträger?","boolean","","","",""
"8.6a","(8.6a) Hilfsmittel?","choice","","Sehhilfe (z. B. Brille) :: Hörhilfe :: Orthese :: Zahnersatz (Prothese, Platzhalter) :: Anderes ","DE-BB",""
"8.9.G","(8.9.G) Details: Angeborene schwere Hörstörung","group","8.9 = true","","",""
"8.9.G.hoergeraete.G","(8.9.G.hoergeraete.G) Hörgeräte","group","","","",""
"8.9.G.hoergeraete.G.1","(8.9.G.hoergeraete.G.1) Höregerätseite","choice","","Links :: Rechts :: Beidseits :: Keine Angabe ","",""
"8.11.g","(8.11.g) Erkrankungen","group","","","",""
"8.11.g.1","(8.11.g.1) Erkrankung","open-choice","","Epilepsie :: ADS/ADHS :: Sprachauffälligkeit :: Sehstörung :: Hörstörung :: Herzfehler :: Nieren/Harnwegerkrankung :: Allergischer Schnupfen :: Asthma :: ...","",""
"8.12.g","(8.12.g) Infektionskrankheiten","group","","","",""
"8.12.g.1","(8.12.g.1) Infektionskrankheit","open-choice","","COVID-19 :: Hand-Fuß-Mund-Krankheit :: Borreliose :: Hepatitis B :: Hirnhautentzündung :: Keuchhusten :: Masern :: Mumps :: Ringelröten :: ...","",""
"8.14b","(8.14b) Bisher durchgemachte Erkrankungen, bspw. Windpocken oder Masern. Zeitlich nicht bestimmt","text","","","DE-BW",""
"8.15","(8.15) Krankenhausaufenthalt","boolean","","","",""
"8.15.1","(8.15.1) Detaillierte Angaben zum Krankenhausaufenthalt?","string","8.15 = true","","",""
"8.16a","(8.16a) Besitzt Ihr Kind Allergien?","choice","","Atopische/Allergische Erkrankungen :: Nahrungsmittelallergien :: Pollenallergien :: Hausstaubmilbenallergien :: Schimmelpilzallergien :: Tierhaarallergien :: Medikamentenallergien :: Sonstige atopische/allergische Erkrankungen ","",""
"8.16b","(8.16b) Gesundheitsstörungen in der Familie des Kindes  (z.B. Allergien, Asthma b.,Epilepsie)","string","","Atopische/Allergische Erkrankungen :: Nahrungsmittelallergien :: Pollenallergien :: Hausstaubmilbenallergien :: Schimmelpilzallergien :: Tierhaarallergien :: Medikamentenallergien :: Sonstige atopische/allergische Erkrankungen ","DE-TH",""
"8.20","(8.20) Pflegegrad","choice","","Pflegegrad 1 :: Pflegegrad 2 :: Pflegegrad 3 :: Pflegegrad 4 :: Pflegegrad 5 ","",""
"8.26a","(8.26a) Gesundheitsstörungen und Besonderheiten beim Kind, die nach Meinung der Eltern zu berücksichtigen sind","text","","","DE-TH",""
"8.51","(8.51) Operationen Sonstige OP","boolean","","","DE-SL",""
"8.56","(8.56) Unfälle Sonstige","choice","","Nein :: Ja; zu Hause :: Freizeit außer Haus :: Gemeinschaftseinrichtung :: Wegeunfall :: Keine Angabe ","DE-SL",""
"8.82","(8.82) Kur mit welchem Behandlungsschwerpunkt?","string","","","DE-TH",""
"9","(9) Förderungen","group","","","",""
"9.1a.g","(9.1a.g) Therapien","group","9.1a = true","","DE-SN",""
"9.3a","(9.3a) Frühförderung","boolean","","","DE-BB",""
"9.11.g","(9.11.g) Kuren","group","","","",""
"9.11.g.1","(9.11.g.1) Wann","date","","","",""
"9.11.g.2","(9.11.g.2) Behandlungsschwerpunkt","string","","","",""
"11","(11) Arzt","group","","","",""
"11.2","(11.2) Name Kinderarzt","string","","","",""
"12","(12) Sonstiges","group","","","",""
"12.23","(12.23) Fährt ihr Kind frei Fahrrad","boolean","","","DE-HB",""
"13","(13) Informationen Eltern","group","","","",""
"13.13a","(13.13a) Datenschutzrechtliche Einwilligungerklärung im Rahmen der SEU über Betreuung des Kindes, Angaben zu Gesundheitsstörungen in d. Fam. des Kindes sowie Angaben zur Schwangerschaft und Geburtsverlauf sowie Angaben des betreuenden Kinderarztes.","boolean","","","DE-TH",""
