"Link-ID","Text","Typ","Enable When","Wertemenge","Herkunft","Nutzung"
"0","(0) Schule & Vorgangsnummer","group","","","",""
"0.1","(0.1) Name der Schule","string","","","",""
"0.2","(0.2) Vorgangsnummer","string","","","",""
"1","(1) Personenbezogene Daten Kind","group","","","",""
"1.1","(1.1) Nachname des Kindes","string","","","",""
"1.2","(1.2) Vorname des Kindes","string","","","",""
"1.3","(1.3) Geburtsdatum","date","","","",""
"1.4","(1.4) Staatsangehörigkeit","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.5","(1.5) Geburtsland","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"1.6","(1.6) In Deutschland geboren","boolean","","","",""
"1.6.1","(1.6.1) Seit wann wohnt das Kind in Deutschland?","date","1.6 = false","","",""
"1.6.1a","(1.6.1a) Wie alt war das Kind bei Einreise nach Deutschland?","choice","1.6 = false","Hier geboren :: Unter 1 Jahr :: >= 1 Jahr bis 1 ½ Jahre :: >= 1 ½ Jahre bis 2 Jahre :: >= 2 Jahre bis 2 ½ Jahre :: >= 2 ½ Jahre bis 3 Jahre :: >= 3 Jahre bis 3 ½ Jahre :: >= 3 ½ Jahre bis 4 Jahre :: >= 4 Jahre bis 4 ½ Jahre :: ...","DE-SL",""
"1.7","(1.7) Geburtsort","string","","","",""
"1.8","(1.8) Geschlecht","choice","","männlich :: weiblich :: unbekannt :: divers ","",""
"1.9","(1.9) PLZ","string","","","",""
"1.10","(1.10) Wohnort","string","","","",""
"1.11","(1.11) Straße","string","","","",""
"1.11a","(1.11a) Hausnummer","string","","","",""
"1.12","(1.12) Kind lebt hauptsächlich bei","choice","","Vater :: Eltern :: Andere :: Mutter ","",""
"1.12a","(1.12a) Kind lebt hauptsächlich bei","choice","","Leibliche Eltern :: Mutter mit Partner/in :: Mutter alleinerziehend :: Vater mit Partner/in :: Vater alleinerziehend :: Wechselmodell :: Heim :: Pflegeeltern :: Andere Familienmitglieder/Verwandte :: ...","DE-BB",""
"1.12.1","(1.12.1) Kind lebt hauptsächlich bei","string","1.12 = andere","","",""
"1.12.a","(1.12.a) Kind lebt hauptsächlich bei","choice","","Bei beiden leiblichen Eltern :: Bei alleinerziehendem Elternteil :: Bei Elternteil mit Partner :: Bei Großeltern, Pflegeeltern, Adoptiveltern oder anderen :: Keine Angaben ","DE-SL",""
"2","(2) Personenbezogene Daten Personenberechtigter","group","","","",""
"2.1","(2.1) Geschlecht","choice","","männlich :: weiblich :: unbekannt :: divers ","",""
"2.2","(2.2) Nachname","string","","","",""
"2.3","(2.3) Vorname","string","","","",""
"2.4","(2.4) PLZ","string","","","",""
"2.5","(2.5) Wohnort","string","","","",""
"2.6","(2.6) Straße","string","","","",""
"2.7","(2.7) Telefonnummer","string","","","",""
"2.8","(2.8) Email","string","","","",""
"2.9","(2.9) Staatsangehörigkeit","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"2.10","(2.10) Herkunftsland","choice","","Afghanistan :: Ägypten :: Åland :: Albanien :: Algerien :: Amerik.-Jungferninseln :: Amerikanisch-Samoa :: Andorra :: Angola :: ...","",""
"2.11","(2.11) Muttersprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"2.12","(2.12) Geburtsdatum","date","","","",""
"3","(3) Familiendaten","group","","","",""
"3.1","(3.1) Anzahl der Geschwister","integer","","","",""
"3.1a","(3.1a) Anzahl der im Familienverbund lebenden Kinder","integer","","","DE-SL",""
"3.1b","(3.1b) Aktuell im Haushalt lebende Kinder","integer","","","DE-SL",""
"3.1.1","(3.1.1) Details Geschwister","group","3.1 > 0","","",""
"3.1.1.1","(3.1.1.1) Geburtsdatum des Geschwisters","date","","","",""
"3.1.1.2","(3.1.1.2) Geschlecht des Geschwisters","choice","","","",""
"3.2","(3.2) Familiäre Vorgeschichte","group","","","",""
"3.2.1","(3.2.1) Brillenträger","boolean","","","",""
"3.2.2","(3.2.2) Lese/Rechtschreibschwäche","boolean","","","",""
"3.2.3","(3.2.3) Rechenschwäche","boolean","","","",""
"3.2.4","(3.2.4) Erkrankung","choice","","Allergie :: Fettstoffwechselstörung :: Bluthochdruck :: Schlaganfall :: Herzinfarkt :: Zuckerkrankheit :: Übergewicht ","",""
"3.2.4a","(3.2.4a) Erkrankung","choice","","Bestimmte infektiöse und parasitäre Krankheiten :: Infektiöse Darmkrankheiten :: Cholera :: Cholera durch Vibrio cholerae O:1, Biovar cholerae :: Cholera durch Vibrio cholerae O:1, Biovar eltor :: Cholera, nicht näher bezeichnet :: Typhus abdominalis und Paratyphus :: Typhus abdominalis :: Paratyphus A :: ...","DE-BB",""
"3.2.4b","(3.2.4b) Ist ihr Kind an Windpocken erkrankt","boolean","","","DE-HE",""
"3.2.5","(3.2.5) Chronische Erkrankung","choice","","Asthma bronchiale :: Rheuma :: Diabetes :: Epilepsie :: Neurodermitis :: Aufmerksamkeitsdefizit-/Hyperaktivitätsstörung (ADHS) :: Sonstige chronische Krankheiten ","",""
"3.2.5.1","(3.2.5.1) Welche sonstige(n) chronischen Erkrankung(en)?","string","3.2.5 = sonstiges","","",""
"3.2.6","(3.2.6) Hat Ihr Kind eine körperliche, geistige oder seelische Behinderung?","boolean","","","",""
"3.2.6.1","(3.2.6.1) Welche Behinderung?","string","3.2.6 = true","","",""
"3.2.6a","(3.2.6a) Liegt bei Ihrem Kind ein Grad der Behinderung/ein Pflegegrad vor?","boolean","","","DE-SL",""
"3.2.7","(3.2.7) Schilddrüsenerkrankung","boolean","","","",""
"3.2.7.1","(3.2.7.1) Welche Schilddrüsenerkrankung?","string","3.2.7 = true","","",""
"3.3","(3.3) Aktuell im Haushalt lebende Erwachsene","integer","","","DE-BB",""
"4","(4) Kinderbetreuung","group","","","",""
"4.0a","(4.0a) Besucht Ihr Kind weniger als 5 Stunden täglich den Kindergarten?","boolean","","","",""
"4.0b","(4.0b) Ist das Kind in einem Kindergarten/einer Kindertageseinrichtung?","boolean","","","",""
"4.1","(4.1) Besuch Kita/Krippe (Dauer in Jahren)","integer","","","",""
"4.1a","(4.1a) Wie alt war das Kind bei der Aufnahme in die KiTa?","choice","","Hier geboren :: Unter 1 Jahr :: >= 1 Jahr bis 1 ½ Jahre :: >= 1 ½ Jahre bis 2 Jahre :: >= 2 Jahre bis 2 ½ Jahre :: >= 2 ½ Jahre bis 3 Jahre :: >= 3 Jahre bis 3 ½ Jahre :: >= 3 ½ Jahre bis 4 Jahre :: >= 4 Jahre bis 4 ½ Jahre :: ...","DE-SL",""
"4.1b","(4.1b) Wie lange besucht Ihr Kind bis jetzt eine Kindertageseinrichtung?","choice","","Nie :: 2-3 Jahre :: Bis zu 1 Jahr :: 3 Jahre und länger :: 1-2 Jahre ","DE-BW",""
"4.1c","(4.1c) Dauer Kindertagebetreuung in Jahren","choice","","Gar nicht :: Unter 1 Jahr :: Über 1 Jahr :: Über 2 Jahre :: Über 3 Jahre :: Über 4 Jahre :: Keine Angabe ","DE-BB",""
"4.1d","(4.1d) Dauer Besuch Kita/Krippe","choice","","<18 Monate :: 18 Mon. - 3 J. :: >3 Jahre ","DE-HE",""
"4.2","(4.2) Dauer Kita/Krippe pro Woche in Stunden","integer","","","",""
"4.4","(4.4) Angabe des Datums, seit wann das Kind keine Kita mehr besucht.","date","","","",""
"4.5","(4.5) Besucht ihr Kind eine andere Form der Tagesbetreuung?","boolean","","","",""
"4.5a","(4.5a) Art der Tagesbetreuung?","string","4.5 = true","","DE-BB",""
"4.6","(4.6) Besucht Ihr Kind eine Kita in einem anderen Bundesland?","boolean","","","",""
"4.6b","(4.6b) Name des Kindergartens","string","4.0b = true","","",""
"4.6a","(4.6a) Anschrift des Kindergartens","string","4.0b = true","","DE-SN",""
"4.7","(4.7) Erfolgte die Betreuung auch durch eine Tagesmutter?","boolean","","","",""
"4.8","(4.8) Seit wann ist die Tagesmutter im Einsatz?","date","4.7 = true","","",""
"4.9","(4.9) Seit wann besucht das Kind eine Kita?","date","","","DE-SN",""
"5","(5) Schwangerschaft und Geburt","group","","","",""
"5.1","(5.1) Dauer der Schwangerschaft (in Wochen)","integer","","","",""
"5.1.a","(5.1.a) Dauer der Schwangerschaft (in Wochen)","integer","","","DE-SL",""
"5.2","(5.2) Geburtsgewicht (in Gramm)","integer","","","",""
"5.2.a","(5.2.a) Geburtsgewicht (in Gramm)","integer","","","DE-SL",""
"5.3a","(5.3a) Geburtslänge (in cm)","integer","","","",""
"5.3b","(5.3b) Kopfumfang (in cm)","integer","","","",""
"5.3c","(5.3c) In welcher SS-Woche wurde ihr Kind geboren?","integer","","","",""
"5.4","(5.4) Waren Geburtsgewicht und Geburtslänge normal?","boolean","","","",""
"5.5","(5.5) Auffälligkeit bei der Geburt","boolean","","","",""
"5.5.1","(5.5.1) Welche Auffälligkeit?","string","5.5 = true","","",""
"5.6","(5.6) Auffälligkeit/Krankheit in der Schwangerschaft","boolean","","","",""
"5.6.1","(5.6.1) Welche Auffälligkeit?","string","5.6 = true","","",""
"5.6a","(5.6a) Schwangerschaftsverlauf","choice","","Normal :: Komplikationen/Risikoschwangerschaft :: Keine Angabe ","DE-SL",""
"5.7","(5.7) Ausschließliches Stillen in Monaten","integer","","","",""
"5.8","(5.8) Stillen / mit Muttermilch ernährt","boolean","","","DE-SL",""
"5.8.1","(5.8.1) Stillzeit in Monaten","integer","5.8 = true","","DE-SL",""
"6","(6) Sprache","group","","","",""
"6.1","(6.1) Welche Sprachen werden Zuhause gesprochen?","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","",""
"6.1a","(6.1a) Welche Sprachen wurden mit dem Kind in den ersten 4 Lebensjahren überwiegend gesprochen?","choice","","Deutsch :: andere Sprache :: Deutsch + andere Sprache ","",""
"6.1b","(6.1b) 1. vorrangig in der Familie gesprochene Sprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","DE-SL",""
"6.1c","(6.1c) 2. vorrangig in der Familie gesprochene Sprache","choice","","keine Angabe :: Andere :: Afar :: Abchasisch :: Achinesisch :: Acholi :: Dangme :: Adygeisch :: Afrikaans :: ...","DE-SL",""
